window_start,window_end,P_coef_N,H_coef_N,var_red_N,P_coef_E,H_coef_E,var_red_E,P_coef_Z,H_coef_Z,var_red_Z,cc_zero_N_P,cc_max_N_P,cc_lag_N_P,cc_zero_N_H,cc_max_N_H,cc_lag_N_H,cc_zero_E_P,cc_max_E_P,cc_lag_E_P,cc_zero_E_H,cc_max_E_H,cc_lag_E_H,cc_zero_Z_P,cc_max_Z_P,cc_lag_Z_P,cc_zero_Z_H,cc_max_Z_H,cc_lag_Z_H
2024-03-01 04:30:00,2024-03-01 07:30:00,-6.664624368422904e-10,-2.6642532181430946e-09,82.81,1.2454606953619367e-09,1.2525429164745977e-09,79.61,-4.116983630479043e-13,-5.476597569286188e-11,29.42,-0.22937290428402296,-0.5649239853078009,-100,-0.8827544939315538,-0.9078874334860197,49,0.6330784632060106,0.8300604811554887,-100,0.6347214399577241,0.8205211434151257,100,-0.009358646080367804,-0.22719158664639258,-100,-0.5423714550403073,-0.5427134662718327,-8
2024-03-01 03:00:00,2024-03-01 06:00:00,-6.171234330913689e-10,-2.7968492490780804e-09,82.4,1.3019556008182917e-09,1.284860969562745e-09,71.05,3.551315659823578e-12,-4.5024853724048865e-11,24.55,-0.19554217076130495,-0.559447753943334,-100,-0.88641435414742,-0.9025093538448984,37,0.5999853136642109,0.7961944601141367,-100,0.5919281129829653,0.7674391045124555,100,0.03901785823575984,0.25408338295403704,100,-0.4939728607238584,-0.49509623704611894,-13
2024-03-01 06:00:00,2024-03-01 09:00:00,-8.897754401217284e-10,-2.909343603755269e-09,70.87,9.54502811997124e-10,1.3542926462610807e-09,54.36,-2.6705627303310865e-11,-8.567381485052059e-11,14.01,-0.24370188970022216,-0.5738588581458746,-100,-0.8046146972453473,-0.8405234090017543,53,0.424828149276918,0.6441477737094632,-100,0.6005685925898919,0.7038868365484682,100,-0.11057246066768299,-0.2520695942060178,-100,-0.3570277225335005,-0.37558860832027036,52
2024-03-01 07:30:00,2024-03-01 10:30:00,-9.06770204125669e-10,-3.09168146644054e-09,53.97,1.3533808495786354e-09,1.768280300030895e-09,50.42,-1.998389271171086e-11,-8.384790191458372e-11,10.01,-0.20343529375650748,-0.5388582939861913,-100,-0.7051122419967355,-0.7354428603976836,46,0.42979672202589286,0.6314561779936552,-100,0.5635334209090088,0.7077208986925163,100,-0.07216244043798062,-0.21919174934331231,-100,-0.3078127063602184,-0.31299914252144023,37
2024-03-01 00:00:00,2024-03-01 03:00:00,-3.2207501128203683e-10,-2.9162197786258217e-09,76.65,5.061479221975078e-10,1.3879163912898574e-09,59.72,-3.216780676809077e-11,-4.177178718109017e-11,23.18,-0.09861418649185207,-0.4958712939890605,-100,-0.8701507554757485,-0.8742573260247454,17,0.26711615852671,0.6026672907818568,-100,0.7257567478070981,0.7388982304085776,37,-0.29477672561435464,-0.436349694443874,-100,-0.38138838906127726,-0.47275670137073256,100
2024-03-01 01:30:00,2024-03-01 04:30:00,-5.567978487170342e-10,-3.226122249258561e-09,79.79,7.370616016028823e-10,1.333525513753394e-09,54.37,-2.5247847126608085e-11,-4.2453901818257695e-11,14.56,-0.1691593545314003,-0.5728191541659055,-100,-0.8800508991715875,-0.891627359505246,27,0.3685852251870818,0.6523122224162179,-100,0.6453357625113225,0.6957052245455658,73,-0.20223739956811754,-0.32842333848423083,-100,-0.3272726623556922,-0.38017273327221385,93
2024-03-01 09:00:00,2024-03-01 12:00:00,-5.776907522863032e-10,-2.9009006672866756e-09,50.31,1.0786128280446038e-09,1.326454926942208e-09,36.68,-2.5300527289254216e-11,-9.270230733454362e-11,11.95,-0.13140878978146459,-0.44225342341630935,-100,-0.6963926703694644,-0.7108606603039922,33,0.37405167958016877,0.5209720831569126,-100,0.47457392928647346,0.6106475545612978,100,-0.0874426673297838,-0.2168224622615319,-100,-0.3340475929378097,-0.34558549830817287,51
2024-03-01 13:30:00,2024-03-01 16:30:00,-4.511537542758714e-10,-3.068948423748201e-09,56.92,1.022030136544055e-09,1.9995999759497336e-09,46.36,-5.877638871656283e-11,2.3454341422533116e-11,4.93,-0.10930846477133913,-0.42000075260001596,-100,-0.7465430352529355,-0.7505679939096244,16,0.30904566938117384,0.543698655792138,-100,0.6068072596045029,0.6724018829422513,100,-0.20609130347177604,-0.22387254016929553,73,0.08267245240213066,0.15747291656409151,-100
2024-03-01 12:00:00,2024-03-01 15:00:00,-5.545461430729169e-10,-3.2830774279636647e-09,45.76,1.1650519547146909e-09,1.6375845252541215e-09,23.5,-3.2648196547036825e-11,-4.010843345722186e-11,3.72,-0.12129554847755997,-0.41521016865785976,-100,-0.6667413956278546,-0.6700257328645699,9,0.2867142410585754,0.4401324080549265,-100,0.3938680716504024,0.47106154987240667,100,-0.12208076511117309,-0.1843497163913791,-100,-0.15056277851056057,-0.1949187999476266,100
2024-03-01 10:30:00,2024-03-01 13:30:00,-3.4281600471427853e-10,-2.9556235536427294e-09,59.66,1.0071870584914375e-09,1.015267051318033e-09,30.59,-3.460832449621e-11,-8.378212933928793e-11,21.86,-0.08781703399125876,-0.4153058123682317,-100,-0.7672442519593888,-0.7734169707223468,22,0.3895792006068742,0.5213056368436456,-100,0.39193685996941036,0.5251382475708554,100,-0.17818471070295516,-0.3289682753351366,-100,-0.4319487304875807,-0.4792501242810885,100
