window_start,window_end,P_coef_N,H_coef_N,var_red_N,P_coef_E,H_coef_E,var_red_E,P_coef_Z,H_coef_Z,var_red_Z,cc_zero_N_P,cc_max_N_P,cc_lag_N_P,cc_zero_N_H,cc_max_N_H,cc_lag_N_H,cc_zero_E_P,cc_max_E_P,cc_lag_E_P,cc_zero_E_H,cc_max_E_H,cc_lag_E_H,cc_zero_Z_P,cc_max_Z_P,cc_lag_Z_P,cc_zero_Z_H,cc_max_Z_H,cc_lag_Z_H
2024-03-01 04:30:00,2024-03-01 07:30:00,2.1758936413098112e-10,-3.780391381654208e-11,92.45,-9.995783694587351e-11,8.148032294344806e-11,72.92,-3.941413180658523e-11,-1.7665997114372666e-12,27.43,0.9473648533583005,0.949298037250081,7,-0.1698169827132042,-0.5956769393054431,-100,-0.6633900604058783,-0.7919758217710404,100,0.541583957436607,0.8161832586247053,-100,-0.5231938264964543,-0.5489405080877026,23,-0.020323478414169358,-0.28624490866345925,100
2024-03-01 03:00:00,2024-03-01 06:00:00,2.1736378905520577e-10,-2.56984788117425e-11,92.71,-9.834193726123361e-11,7.76724198911239e-11,64.27,-3.190171689897958e-11,-3.733638757986928e-12,24.84,0.9562079375607385,0.9562079375607385,0,-0.11399986839981112,-0.5917322526775565,-100,-0.6293283633284389,-0.7313399305099026,100,0.4972879341342413,0.7909572197565161,-100,-0.4950569891991984,-0.506677992176122,-25,-0.05740930407389006,-0.33253863741321776,100
2024-03-01 00:00:00,2024-03-01 03:00:00,2.138898304922172e-10,-2.3638528019422284e-12,89.46,-9.697076386089896e-11,1.1127577312785933e-11,57.14,-2.891328158672074e-11,1.8871278036806797e-11,22.62,0.9457865461268701,0.9462093427561701,-4,-0.011597442155225035,-0.5387631252903334,-100,-0.7510021183327009,-0.7643875998421219,-25,0.0870464912000372,0.5648930328516726,-100,-0.3983265135568971,-0.46697644101533403,100,0.26028622252998435,0.43836169328533087,-100
2024-03-01 01:30:00,2024-03-01 04:30:00,2.2751802962220792e-10,-2.1586726303816385e-11,93.6,-9.295569771378497e-11,3.247908036639352e-11,54.24,-2.871792818308826e-11,1.733523601629674e-11,16.74,0.9631182298405804,0.9634377731306414,3,-0.10213310329100966,-0.6379413825400644,-100,-0.695132413463813,-0.6954416651399576,15,0.2506172023138894,0.681285445390406,-100,-0.3498270466554139,-0.3994816558840826,69,0.21598047595595923,0.3664043797752111,-100
2024-03-01 07:30:00,2024-03-01 10:30:00,2.0876719959407164e-10,-4.143976412323286e-11,67.12,-1.0705298912104433e-10,7.183740048015151e-11,48.16,-4.5559825847933745e-11,4.279043886067549e-12,8.35,0.8037275245106501,0.8102792509034251,15,-0.156983541618249,-0.5990605797666048,-100,-0.5759754685082803,-0.7101073400159317,89,0.3857485732943325,0.6209108031057822,-100,-0.28767467946784253,-0.3004386351039294,-29,0.02628200252188809,0.18320194172470902,-100
2024-03-01 06:00:00,2024-03-01 09:00:00,2.2127521303339797e-10,-5.20913935084281e-11,87.31,-9.784064744789997e-11,4.7669419393663864e-11,51.69,-4.9711512991448494e-11,1.4157658949769104e-11,10.63,0.90947848797636,0.9151366306467669,8,-0.21269805764545163,-0.6515855026937167,-100,-0.6454228172942079,-0.7166197433212894,51,0.3157067724015829,0.6595469534137247,-100,-0.3133420000731356,-0.3689925122254291,28,0.08975805951437209,0.2346136178112783,-100
2024-03-01 09:00:00,2024-03-01 12:00:00,2.0562951937029358e-10,-3.044128872459357e-11,59.97,-8.778180597405e-11,6.775081368329016e-11,37.31,-4.996161835471551e-11,1.1820963843604401e-11,8.55,0.7664729608886183,0.7691726240769613,10,-0.10673826614518511,-0.5059999727539064,-100,-0.4874656020348784,-0.6545370833479126,91,0.3655653447403475,0.5387936888095811,-100,-0.284916808988246,-0.30694891832548354,36,0.06450621165162043,0.18088029087104415,-100
2024-03-01 13:30:00,2024-03-01 16:30:00,2.1749794898837214e-10,-5.579639319403519e-12,59.29,-1.3065830837784646e-10,4.343629900448818e-11,36.94,1.7953465327662232e-11,4.373240931424508e-11,6.08,0.76976674502939,0.7745896024741136,-7,-0.019312333153102455,-0.39488309390846804,-100,-0.5768693306546631,-0.6313221494984996,80,0.19117841063165666,0.5092285854962217,-100,0.09400225523695209,0.13274405015547938,-100,0.22798155742050916,0.2460884288358663,12
2024-03-01 12:00:00,2024-03-01 15:00:00,2.2142744573193797e-10,-3.162872645647671e-12,53.72,-9.2478588151317e-11,2.567280451488899e-11,14.01,-9.781695787884884e-12,2.3951019580478805e-11,2.55,0.7328589149431028,0.7474999690780517,-7,-0.012870692438111727,-0.42271473331337656,-100,-0.3603594724317763,-0.5053133178646609,-18,0.1025372504894628,0.46705662965073197,-95,-0.06180808064892991,-0.20451661414092168,26,0.14736276607160143,0.19687780713464187,-100
2024-03-01 10:30:00,2024-03-01 13:30:00,2.124846995752379e-10,-1.092703491406685e-11,68.19,-7.462652107261227e-11,5.3359040091009505e-11,28.19,-4.1812152135494185e-11,2.0505375912808587e-11,13.43,0.8246821435016806,0.8263472883704239,-4,-0.044719053454177975,-0.44503562275255387,-100,-0.43218411228375786,-0.5977237614365442,98,0.30964173260593514,0.5675129817165773,-95,-0.32912820662749354,-0.4172410668707144,47,0.16220475820466712,0.2797315903277561,-100
