window_start,window_end,P_coef_N,H_coef_N,var_red_N,P_coef_E,H_coef_E,var_red_E,P_coef_Z,H_coef_Z,var_red_Z,cc_zero_N_P,cc_max_N_P,cc_lag_N_P,cc_zero_N_H,cc_max_N_H,cc_lag_N_H,cc_zero_E_P,cc_max_E_P,cc_lag_E_P,cc_zero_E_H,cc_max_E_H,cc_lag_E_H,cc_zero_Z_P,cc_max_Z_P,cc_lag_Z_P,cc_zero_Z_H,cc_max_Z_H,cc_lag_Z_H
2024-03-01 00:00:00,2024-03-01 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01 01:30:00,2024-03-01 04:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01 04:30:00,2024-03-01 07:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01 03:00:00,2024-03-01 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01 06:00:00,2024-03-01 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01 07:30:00,2024-03-01 10:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01 09:00:00,2024-03-01 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01 10:30:00,2024-03-01 13:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01 13:30:00,2024-03-01 16:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01 15:00:00,2024-03-01 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01 12:00:00,2024-03-01 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01 16:30:00,2024-03-01 19:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01 18:00:00,2024-03-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01 22:30:00,2024-03-02 01:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01 21:00:00,2024-03-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-02 00:00:00,2024-03-02 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01 19:30:00,2024-03-01 22:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-02 03:00:00,2024-03-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-02 01:30:00,2024-03-02 04:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-02 04:30:00,2024-03-02 07:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-02 06:00:00,2024-03-02 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-02 07:30:00,2024-03-02 10:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-02 09:00:00,2024-03-02 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-02 10:30:00,2024-03-02 13:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-02 12:00:00,2024-03-02 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
