window_start,window_end,wind_speed_mean,wind_speed_median,wind_speed_max,wind_dir_mean,wind_dir_median,wind_dir_std
2024-03-01 00:00:00,2024-03-01 03:00:00,0.5,0.4,1.5,294.0,294.0,79.0
2024-03-01 04:30:00,2024-03-01 07:30:00,2.1,2.0,5.0,270.0,270.0,14.0
2024-03-01 03:00:00,2024-03-01 06:00:00,2.3,2.3,5.0,277.0,277.0,16.0
2024-03-01 01:30:00,2024-03-01 04:30:00,1.3,1.0,4.7,279.0,279.0,49.0
2024-03-01 06:00:00,2024-03-01 09:00:00,2.0,1.9,4.9,265.0,265.0,11.0
2024-03-01 07:30:00,2024-03-01 10:30:00,2.0,1.9,4.9,263.0,263.0,14.0
2024-03-01 09:00:00,2024-03-01 12:00:00,2.3,2.2,5.0,265.0,265.0,15.0
2024-03-01 10:30:00,2024-03-01 13:30:00,2.7,2.6,5.3,273.0,273.0,14.0
2024-03-01 12:00:00,2024-03-01 15:00:00,2.4,2.3,5.3,273.0,273.0,14.0
2024-03-01 13:30:00,2024-03-01 16:30:00,1.8,1.7,4.7,268.0,268.0,13.0
2024-03-01 16:30:00,2024-03-01 19:30:00,0.6,0.6,1.9,250.0,250.0,22.0
2024-03-01 15:00:00,2024-03-01 18:00:00,1.0,0.9,3.5,263.0,263.0,15.0
2024-03-01 18:00:00,2024-03-01 21:00:00,0.7,0.7,1.9,248.0,248.0,23.0
2024-03-01 19:30:00,2024-03-01 22:30:00,0.7,0.7,1.8,264.0,264.0,21.0
2024-03-01 21:00:00,2024-03-02 00:00:00,0.5,0.5,1.3,241.0,241.0,66.0
2024-03-01 22:30:00,2024-03-02 01:30:00,0.5,0.4,1.9,145.0,145.0,58.0
2024-03-02 00:00:00,2024-03-02 03:00:00,0.7,0.6,3.2,94.0,94.0,59.0
2024-03-02 01:30:00,2024-03-02 04:30:00,0.7,0.6,3.2,60.0,60.0,67.0
2024-03-02 04:30:00,2024-03-02 07:30:00,0.5,0.4,1.5,20.0,20.0,100.0
2024-03-02 03:00:00,2024-03-02 06:00:00,0.5,0.5,1.6,51.0,51.0,82.0
2024-03-02 06:00:00,2024-03-02 09:00:00,0.7,0.6,2.1,193.0,193.0,119.0
2024-03-02 07:30:00,2024-03-02 10:30:00,1.1,1.0,3.7,116.0,116.0,76.0
2024-03-02 09:00:00,2024-03-02 12:00:00,1.8,1.8,4.3,82.0,82.0,37.0
2024-03-02 10:30:00,2024-03-02 13:30:00,2.4,2.4,6.1,75.0,75.0,21.0
2024-03-02 12:00:00,2024-03-02 15:00:00,2.9,2.9,6.8,73.0,73.0,19.0
2024-03-02 13:30:00,2024-03-02 16:30:00,3.1,3.0,7.3,67.0,67.0,17.0
2024-03-02 15:00:00,2024-03-02 18:00:00,3.0,2.9,7.3,63.0,63.0,14.0
2024-03-02 16:30:00,2024-03-02 19:30:00,2.5,2.3,5.7,66.0,66.0,12.0
2024-03-02 18:00:00,2024-03-02 21:00:00,1.8,1.7,4.7,66.0,66.0,10.0
2024-03-02 19:30:00,2024-03-02 22:30:00,1.5,1.5,2.8,63.0,63.0,13.0
2024-03-02 21:00:00,2024-03-03 00:00:00,1.3,1.3,2.5,62.0,62.0,14.0
2024-03-02 22:30:00,2024-03-03 01:30:00,0.9,0.9,2.1,60.0,60.0,19.0
2024-03-03 00:00:00,2024-03-03 03:00:00,0.6,0.6,1.5,59.0,59.0,52.0
2024-03-03 01:30:00,2024-03-03 04:30:00,0.5,0.4,1.7,57.0,57.0,58.0
2024-03-03 03:00:00,2024-03-03 06:00:00,0.6,0.6,1.7,52.0,52.0,49.0
2024-03-03 04:30:00,2024-03-03 07:30:00,0.6,0.6,1.7,45.0,45.0,53.0
2024-03-03 06:00:00,2024-03-03 09:00:00,0.7,0.7,1.8,72.0,72.0,45.0
2024-03-03 07:30:00,2024-03-03 10:30:00,1.0,0.9,3.4,83.0,83.0,37.0
2024-03-03 09:00:00,2024-03-03 12:00:00,1.5,1.4,4.5,107.0,107.0,50.0
2024-03-03 10:30:00,2024-03-03 13:30:00,1.9,1.9,5.4,143.0,143.0,27.0
2024-03-03 13:30:00,2024-03-03 16:30:00,2.1,1.9,6.9,159.0,159.0,29.0
2024-03-03 12:00:00,2024-03-03 15:00:00,2.1,2.0,6.9,157.0,157.0,31.0
2024-03-03 15:00:00,2024-03-03 18:00:00,1.5,1.3,4.9,152.0,152.0,31.0
2024-03-03 16:30:00,2024-03-03 19:30:00,0.9,0.9,3.2,129.0,129.0,47.0
2024-03-03 18:00:00,2024-03-03 21:00:00,0.6,0.5,1.9,73.0,73.0,84.0
2024-03-03 19:30:00,2024-03-03 22:30:00,0.5,0.3,2.6,319.0,319.0,84.0
2024-03-03 21:00:00,2024-03-04 00:00:00,0.8,0.6,2.6,283.0,283.0,60.0
